epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,23.5599,0.82782,0.80609,1.14077,1.00182,0.6639,1,0.83,0.54817,0.6639,1,0.83,0.59786,1.06153,1.00153,3.51499,1.45244,0.00049532,0.00049532,0.00049532
32,24.3753,0.7492,1.17921,1.09814,0.91379,0.6639,1,0.83,0.54817,0.6639,1,0.83,0.59786,1.06153,1.00153,3.51499,1.45244,0.000486612,0.000486612,0.000486612
33,25.0762,0.62327,0.77022,1.55464,1.05156,0.95732,1,0.995,0.82956,0.95732,1,0.995,0.81917,0.90752,1.03348,2.15872,1.22447,0.00047632,0.00047632,0.00047632
34,25.8531,0.37454,0.57888,3.04366,0.46485,0.95732,1,0.995,0.82956,0.95732,1,0.995,0.81917,0.90752,1.03348,2.15872,1.22447,0.000464444,0.000464444,0.000464444
35,26.6007,0.95271,1.1061,1.02559,1.11766,0.95732,1,0.995,0.82956,0.95732,1,0.995,0.81917,0.90752,1.03348,2.15872,1.22447,0.000450984,0.000450984,0.000450984
36,27.3856,0.99864,1.44025,1.29612,1.02944,0.98503,1,0.995,0.75769,0.98503,1,0.995,0.7745,0.84812,1.01949,1.22094,1.23046,0.00043594,0.00043594,0.00043594
37,28.0616,0.97586,2.06182,1.29731,1.17963,0.98503,1,0.995,0.75769,0.98503,1,0.995,0.7745,0.84812,1.01949,1.22094,1.23046,0.000419312,0.000419312,0.000419312
38,28.7368,0.82476,1.80756,1.1525,0.98346,0.98503,1,0.995,0.75769,0.98503,1,0.995,0.7745,0.84812,1.01949,1.22094,1.23046,0.0004011,0.0004011,0.0004011
39,29.4205,0.95449,1.65262,1.56584,1.07795,0.97487,1,0.995,0.89617,0.97487,1,0.995,0.84642,0.64756,0.88008,1.13044,1.06515,0.000381304,0.000381304,0.000381304
40,30.3048,0.52255,0.91362,1.0011,0.92398,0.97487,1,0.995,0.89617,0.97487,1,0.995,0.84642,0.64756,0.88008,1.13044,1.06515,0.000359924,0.000359924,0.000359924
41,32.6589,0.82186,1.08256,1.30285,1.00619,0.97487,1,0.995,0.89617,0.97487,1,0.995,0.84642,0.64756,0.88008,1.13044,1.06515,0.00033696,0.00033696,0.00033696
42,33.7176,0.67133,1.03724,1.17349,0.786,0.97908,1,0.995,0.89617,0.97908,1,0.995,0.84642,0.67129,0.89769,1.06428,1.07242,0.000312412,0.000312412,0.000312412
43,34.6368,1.04266,1.23429,2.8467,1.29805,0.97908,1,0.995,0.89617,0.97908,1,0.995,0.84642,0.67129,0.89769,1.06428,1.07242,0.00028628,0.00028628,0.00028628
44,35.6438,0.52045,0.94289,1.00911,0.84315,0.97908,1,0.995,0.89617,0.97908,1,0.995,0.84642,0.67129,0.89769,1.06428,1.07242,0.000258564,0.000258564,0.000258564
45,36.6158,0.65188,1.25184,1.02979,0.81928,0.97908,1,0.995,0.89617,0.97908,1,0.995,0.84642,0.67129,0.89769,1.06428,1.07242,0.000229264,0.000229264,0.000229264
46,37.5915,0.67464,0.9409,1.04764,0.99046,0.98416,1,0.995,0.89617,0.98416,1,0.995,0.84642,0.68582,0.90122,0.89002,1.07576,0.00019838,0.00019838,0.00019838
47,38.5582,0.82895,1.01024,1.17206,0.86047,0.98416,1,0.995,0.89617,0.98416,1,0.995,0.84642,0.68582,0.90122,0.89002,1.07576,0.000165912,0.000165912,0.000165912
48,39.8296,0.84159,2.23954,1.73174,1.25225,0.98416,1,0.995,0.89617,0.98416,1,0.995,0.84642,0.68582,0.90122,0.89002,1.07576,0.00013186,0.00013186,0.00013186
49,40.6132,0.81781,1.25122,0.99215,1.01449,0.98416,1,0.995,0.89617,0.98416,1,0.995,0.84642,0.68582,0.90122,0.89002,1.07576,9.6224e-05,9.6224e-05,9.6224e-05
50,41.4519,0.54267,1.02297,1.10617,0.91564,0.98582,1,0.995,0.84642,0.98582,1,0.995,0.84663,0.68523,0.9012,0.80728,1.07237,5.9004e-05,5.9004e-05,5.9004e-05
