epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72093,3.62094,5.21701,4.38988,4.15561,0.00172,0.33333,0.00171,0.00068,0,0,0,0,3.38137,5.12848,3.89241,4.15881,2e-05,2e-05,2e-05
2,2.58891,4.28653,5.34516,4.55386,4.16338,0.00171,0.33333,0.00153,0.00062,0,0,0,0,3.38078,5.12799,3.8921,4.15874,5.8812e-05,5.8812e-05,5.8812e-05
3,3.41476,4.78615,5.42884,4.71074,4.16376,0.00171,0.33333,0.00157,0.00063,0,0,0,0,3.38078,5.12805,3.8921,4.15851,9.604e-05,9.604e-05,9.604e-05
4,4.16796,3.72637,5.16172,4.90691,4.18701,0.00176,0.33333,0.00164,0.00071,0,0,0,0,3.37759,5.12844,3.8881,4.15817,0.000131684,0.000131684,0.000131684
5,5.05116,4.68267,5.24119,5.06966,4.18195,0.00175,0.33333,0.00156,0.00065,0,0,0,0,3.37648,5.12859,3.88517,4.15743,0.000165744,0.000165744,0.000165744
6,5.95474,4.36706,5.17161,5.39978,4.18961,0.00174,0.33333,0.00175,0.0007,0,0,0,0,3.37589,5.12813,3.88277,4.15759,0.00019822,0.00019822,0.00019822
7,6.73045,4.84347,5.23192,5.26889,4.16161,0.00175,0.33333,0.00161,0.00065,0,0,0,0,3.37531,5.12722,3.88038,4.15656,0.000229112,0.000229112,0.000229112
8,7.44224,2.00572,2.57199,6.67443,2.08747,0.00183,0.33333,0.00197,0.00075,0,0,0,0,3.37053,5.12498,3.87742,4.15477,0.00025842,0.00025842,0.00025842
9,8.42657,3.01143,4.74794,4.67565,4.1532,0.00183,0.33333,0.00184,0.00071,0,0,0,0,3.368,5.12232,3.87584,4.15303,0.000286144,0.000286144,0.000286144
10,9.1702,3.63963,4.8948,4.23248,4.13902,0.00187,0.33333,0.00204,0.00076,0,0,0,0,3.36284,5.11747,3.87103,4.15116,0.000312284,0.000312284,0.000312284
11,9.95832,3.16824,5.83943,3.81307,4.18316,0.00174,0.33333,0.00179,0.00072,0,0,0,0,3.36067,5.11447,3.86712,4.14916,0.00033684,0.00033684,0.00033684
12,10.6703,1.70756,2.41507,6.29545,2.07278,0.00174,0.33333,0.00179,0.00072,0,0,0,0,3.36067,5.11447,3.86712,4.14916,0.000359812,0.000359812,0.000359812
13,11.7675,3.17883,4.40234,4.3655,4.15361,0.00188,0.33333,0.00206,0.00076,0,0,0,0,3.3521,5.10655,3.86372,4.14589,0.0003812,0.0003812,0.0003812
14,12.5843,4.17317,4.30506,5.05447,4.10335,0.00178,0.33333,0.00185,0.00072,0.00178,0.33333,0.00178,0.00053,3.34458,5.09536,3.85821,4.14045,0.000401004,0.000401004,0.000401004
15,13.4235,4.60174,5.84249,4.50902,4.0952,0.00178,0.33333,0.00185,0.00072,0.00178,0.33333,0.00178,0.00053,3.34458,5.09536,3.85821,4.14045,0.000419224,0.000419224,0.000419224
16,14.4725,4.45985,4.88127,4.60677,4.1048,0.00176,0.33333,0.00187,0.00073,0.00176,0.33333,0.00181,0.00054,3.33532,5.08037,3.85452,4.13422,0.00043586,0.00043586,0.00043586
